Sec,NanoSec,Sec_total,a_x,a_y,a_z,w_x,w_y,w_z
1.63E+09,4.29E+08,1.63E+09,-9.9514,2.3738,-9.7828,0.0016808,0.54303,-0.0050171
1.63E+09,5.29E+08,1.63E+09,-9.9388,2.3583,-10.291,-0.00030563,0.54216,-0.0086596
1.63E+09,6.29E+08,1.63E+09,-9.8917,2.3652,-10.822,0.0012608,0.54782,-0.007584
1.63E+09,7.29E+08,1.63E+09,-9.8407,2.3586,-11.19,0.00083457,0.55223,-0.00022332
1.63E+09,8.29E+08,1.63E+09,-9.7557,2.3646,-11.714,0.0029292,0.54945,-0.0045641
1.63E+09,9.29E+08,1.63E+09,-9.6684,2.3504,-12.078,0.00086041,0.54064,-0.00097786
1.63E+09,2.93E+07,1.63E+09,-9.5391,2.3608,-12.573,0.00071745,0.53916,-0.0039198
1.63E+09,1.29E+08,1.63E+09,-9.3678,2.3542,-13.083,-0.0025862,0.54186,-0.0034405
1.63E+09,2.29E+08,1.63E+09,-9.2262,2.3617,-13.455,-0.0017964,0.54059,-0.0029641
1.63E+09,3.29E+08,1.63E+09,-9.0192,2.3601,-13.946,0.0043592,0.54403,-0.0037563
1.63E+09,4.29E+08,1.63E+09,-8.8474,2.3496,-14.283,0.0027745,0.5481,-0.0053735
1.63E+09,5.30E+08,1.63E+09,-8.5993,2.3611,-14.716,0.0011918,0.54966,1.63E-05
1.63E+09,6.30E+08,1.63E+09,-8.3097,2.3437,-15.172,0.00068588,0.54225,-0.0021324
1.63E+09,7.30E+08,1.63E+09,-8.0816,2.3713,-15.477,0.0055615,0.5406,-0.0085836
1.63E+09,8.30E+08,1.63E+09,-7.7678,2.3637,-15.898,0.0016061,0.54595,-0.0018048
1.63E+09,9.30E+08,1.63E+09,-7.5023,2.3763,-16.194,0.0016431,0.53498,-0.0067259
1.63E+09,2.98E+07,1.63E+09,-7.1396,2.3712,-16.556,0.0021325,0.54796,-0.0039329
1.63E+09,1.30E+08,1.63E+09,-6.7647,2.3727,-16.945,-0.00080519,0.54944,-0.0017194
1.63E+09,2.30E+08,1.63E+09,-6.4531,2.3867,-17.193,-0.00014036,0.55442,-0.0031261
1.63E+09,3.30E+08,1.63E+09,-6.0365,2.3734,-17.52,0.0012838,0.54434,-0.0019958
1.63E+09,4.30E+08,1.63E+09,-5.7018,2.4127,-17.763,0.0051664,0.54822,-0.0064357
1.63E+09,5.30E+08,1.63E+09,-5.2586,2.3988,-18.032,0.0011112,0.54237,-0.0032288
1.63E+09,6.30E+08,1.63E+09,-4.8066,2.3971,-18.301,0.003605,0.54212,-0.0030568
1.63E+09,7.30E+08,1.63E+09,-4.4081,2.4269,-18.483,0.0028788,0.53779,-0.0017374
1.63E+09,8.30E+08,1.63E+09,-3.9274,2.4247,-18.693,0.00046213,0.54497,-0.0040371
1.63E+09,9.30E+08,1.63E+09,-3.5004,2.452,-18.852,0.0022169,0.55086,-0.0034915
1.63E+09,3.03E+07,1.63E+09,-3.012,2.4517,-19.023,-0.00039122,0.55014,-0.0057871
1.63E+09,1.30E+08,1.63E+09,-2.4861,2.453,-19.144,-0.00021382,0.54986,-0.0046551
1.63E+09,2.30E+08,1.63E+09,-2.0467,2.48,-19.236,0.0030167,0.5434,-0.0033477
1.63E+09,3.30E+08,1.63E+09,-1.5386,2.4594,-19.289,-1.27E-05,0.54574,-0.00098295
1.63E+09,4.30E+08,1.63E+09,-1.0281,2.5393,-19.313,0.0036076,0.5395,-0.0040621
1.63E+09,5.31E+08,1.63E+09,-0.48978,2.4741,-19.384,0.0018098,0.54206,-0.0061211
1.63E+09,6.31E+08,1.63E+09,0.015051,2.5209,-19.352,0.0027556,0.54524,-0.0024709
1.63E+09,7.31E+08,1.63E+09,0.53538,2.5272,-19.348,0.00056394,0.55246,-0.0049696
1.63E+09,8.31E+08,1.63E+09,1.0392,2.5365,-19.256,0.0013595,0.54527,-0.0070437
1.63E+09,9.31E+08,1.63E+09,1.5777,2.5681,-19.155,0.0024485,0.54346,-0.0037513
1.63E+09,3.08E+07,1.63E+09,2.0829,2.5813,-19.048,0.00077852,0.5465,-0.0031968
1.63E+09,1.31E+08,1.63E+09,2.5769,2.5762,-18.901,0.00053932,0.54327,-0.0056236
1.63E+09,2.31E+08,1.63E+09,3.0955,2.6012,-18.721,0.0023804,0.54622,-0.0025426
1.63E+09,3.31E+08,1.63E+09,3.5714,2.6098,-18.506,-0.00095704,0.54116,-0.0023243
1.63E+09,4.31E+08,1.63E+09,4.0987,2.6237,-18.243,0.002173,0.54599,0.00035996
1.63E+09,5.31E+08,1.63E+09,4.5525,2.6439,-18.009,0.0037742,0.55167,-0.002773
1.63E+09,6.31E+08,1.63E+09,4.98,2.6366,-17.704,0.0029375,0.5476,-0.0039386
1.63E+09,7.31E+08,1.63E+09,5.4501,2.6648,-17.363,0.0023322,0.5382,-0.0053253
1.63E+09,8.31E+08,1.63E+09,5.854,2.6688,-17.066,0.00020161,0.54334,-0.0015468
1.63E+09,9.31E+08,1.63E+09,6.2973,2.6915,-16.629,0.00069441,0.53839,-0.0050691
1.63E+09,3.13E+07,1.63E+09,6.6548,2.6982,-16.26,0.00078034,0.54131,-0.0027082
1.63E+09,1.31E+08,1.63E+09,7.005,2.7044,-15.869,0.00031386,0.5517,-0.0077768
1.63E+09,2.31E+08,1.63E+09,7.3661,2.7207,-15.383,0.0030496,0.55389,-0.0027363
1.63E+09,3.31E+08,1.63E+09,7.6518,2.7266,-14.945,0.0019801,0.54901,-0.00441
1.63E+09,4.32E+08,1.63E+09,7.9761,2.7427,-14.433,0.0032212,0.55066,-0.0056679
1.63E+09,5.32E+08,1.63E+09,8.2143,2.752,-13.962,-0.00074429,0.54082,-0.0035318
1.63E+09,6.32E+08,1.63E+09,8.4243,2.7563,-13.487,0.00029857,0.5405,-0.0013976
1.63E+09,7.32E+08,1.63E+09,8.642,2.7689,-12.91,0.00072034,0.54232,-0.0013547
1.63E+09,8.32E+08,1.63E+09,8.7963,2.7724,-12.41,0.0010264,0.54274,-0.0070924
1.63E+09,9.32E+08,1.63E+09,8.9488,2.7891,-11.825,-0.0014464,0.54795,-0.0036909
1.63E+09,3.18E+07,1.63E+09,9.0435,2.7875,-11.305,0.0021945,0.54709,-0.0033104
1.63E+09,1.32E+08,1.63E+09,9.1145,2.7913,-10.807,0.0034492,0.53958,-0.0039181
1.63E+09,2.32E+08,1.63E+09,9.1598,2.8024,-10.162,0.0019169,0.54753,-0.0059926
1.63E+09,3.32E+08,1.63E+09,9.1616,2.8066,-9.6524,-0.00093369,0.54334,-0.0034479
1.63E+09,4.32E+08,1.63E+09,9.1332,2.8108,-9.0173,-0.0014551,0.54298,-0.0059962
1.63E+09,5.32E+08,1.63E+09,9.0718,2.8024,-8.5139,-0.0011388,0.54428,-0.0028967
1.63E+09,6.32E+08,1.63E+09,8.9839,2.817,-7.9874,-0.00019166,0.53802,0.0010746
1.63E+09,7.32E+08,1.63E+09,8.8485,2.8061,-7.3811,0.0014215,0.54784,-0.0037776
1.63E+09,8.32E+08,1.63E+09,8.703,2.8176,-6.9098,0.0049277,0.5479,-0.0033791
1.63E+09,9.32E+08,1.63E+09,8.4995,2.8057,-6.3032,0.0025922,0.54823,-0.0011338
1.63E+09,3.24E+07,1.63E+09,8.3005,2.8079,-5.8399,-0.0012902,0.54843,-0.0015356
1.63E+09,1.32E+08,1.63E+09,8.0646,2.8015,-5.3642,0.0032133,0.5417,-0.0021479
1.63E+09,2.32E+08,1.63E+09,7.7701,2.7984,-4.85,0.002234,0.54354,-0.0051054
1.63E+09,3.33E+08,1.63E+09,7.4872,2.7981,-4.4054,0.0017061,0.54469,-0.0041383
1.63E+09,4.33E+08,1.63E+09,7.1307,2.7861,-3.9337,0.0025861,0.54604,-0.0036716
1.63E+09,5.33E+08,1.63E+09,6.772,1.5395,-3.1247,0.057058,0.55217,-0.031923
1.63E+09,6.33E+08,1.63E+09,6.3754,-0.37218,-4.0354,0.13166,0.55925,-0.082402
1.63E+09,7.33E+08,1.63E+09,8.3864,1.3662,-3.2868,-0.055727,0.55551,-0.42833
1.63E+09,8.33E+08,1.63E+09,4.6142,0.64991,-2.891,0.0086137,0.56442,-0.61401
1.63E+09,9.33E+08,1.63E+09,6.4568,5.1814,-2.2318,-0.046389,0.55637,-0.5477
1.63E+09,3.29E+07,1.63E+09,3.4208,-0.72685,-1.3174,0.052119,0.57064,-0.66294
1.63E+09,1.33E+08,1.63E+09,3.0389,-0.032014,0.69055,-0.26251,0.53966,-0.27135
1.63E+09,2.33E+08,1.63E+09,2.7441,3.0138,0.060311,-0.29051,0.54059,-0.10138
1.63E+09,3.33E+08,1.63E+09,0.32493,6.2162,-2.7427,-0.1853,0.53077,0.025447
1.63E+09,4.33E+08,1.63E+09,0.025558,7.0407,1.4705,0.17004,0.55185,0.21758
1.63E+09,5.33E+08,1.63E+09,3.2704,2.7296,-6.9159,0.24172,0.5575,0.1423
1.63E+09,6.33E+08,1.63E+09,1.7186,4.7035,-3.4807,-0.38457,0.50245,0.66011
1.63E+09,7.33E+08,1.63E+09,0.22213,3.8319,1.0397,0.21512,0.53196,0.61325
1.63E+09,8.33E+08,1.63E+09,6.4129,0.017608,8.4694,-0.18041,0.52822,0.39214
1.63E+09,9.33E+08,1.63E+09,-3.9659,5.0264,-0.33274,-0.06025,0.5503,-0.099965
1.63E+09,3.35E+07,1.63E+09,0.46876,4.4342,-1.4271,-0.25144,0.53359,0.11868
1.63E+09,1.34E+08,1.63E+09,-1.3723,4.8947,-1.512,0.10702,0.52875,0.31225
1.63E+09,2.34E+08,1.63E+09,-0.45791,2.87,0.99405,-0.002346,0.54185,0.20796
1.63E+09,3.34E+08,1.63E+09,-0.049813,3.6941,3.0853,-0.064623,0.55063,-0.071683
1.63E+09,4.34E+08,1.63E+09,-0.70921,3.8162,2.4176,-0.19838,0.53463,0.29816
1.63E+09,5.34E+08,1.63E+09,3.0855,5.6113,-0.35531,0.1115,0.52417,0.11786
1.63E+09,6.34E+08,1.63E+09,-2.8525,6.034,-1.5689,0.1812,0.53521,0.56746
1.63E+09,7.34E+08,1.63E+09,0.076586,2.554,-1.8134,0.27,0.54121,0.038435
1.63E+09,8.34E+08,1.63E+09,-5.7116,4.1189,-1.1684,-0.038642,0.53989,0.18405
1.63E+09,9.34E+08,1.63E+09,-6.9298,5.3721,-6.413,-0.27375,0.57429,0.14763
1.63E+09,3.41E+07,1.63E+09,-3.705,4.5911,2.7264,-0.18241,0.55245,-0.076165
1.63E+09,1.34E+08,1.63E+09,-4.3392,7.7668,-4.2777,0.45828,0.54246,0.015661
1.63E+09,2.34E+08,1.63E+09,-4.8714,3.3228,-0.062022,-0.048821,0.53984,0.045974
1.63E+09,3.34E+08,1.63E+09,-5.4401,2.3793,-2.3786,-0.51939,0.544,-0.073744
1.63E+09,4.34E+08,1.63E+09,-5.9828,5.2237,-4.2068,-0.024576,0.5478,0.050352
1.63E+09,5.34E+08,1.63E+09,-4.416,4.6208,-0.92862,0.09127,0.54089,-0.046913
1.63E+09,6.34E+08,1.63E+09,-6.7456,3.9371,-3.5758,-0.034678,0.5413,0.0060043
1.63E+09,7.34E+08,1.63E+09,-6.6998,3.51,0.0049691,0.0478,0.55414,0.0019196
1.63E+09,8.35E+08,1.63E+09,-3.794,5.2881,-4.4203,0.21348,0.54016,-0.021942
1.63E+09,9.35E+08,1.63E+09,-9.4474,6.2845,-5.12,0.50996,0.57066,0.076648
1.63E+09,3.47E+07,1.63E+09,-5.9959,1.3443,-4.5763,0.063822,0.54326,0.056686
1.63E+09,1.35E+08,1.63E+09,-6.4159,4.9146,-8.3387,-0.18845,0.51096,0.13813
1.63E+09,2.35E+08,1.63E+09,-9.9028,5.4906,-7.0354,-0.21966,0.52484,0.49474
1.63E+09,3.35E+08,1.63E+09,-6.8719,6.5936,-3.9262,0.11143,0.54457,0.42014
1.63E+09,4.35E+08,1.63E+09,-7.0631,8.0514,-8.0212,-0.12052,0.54381,-0.20032
1.63E+09,5.35E+08,1.63E+09,-9.4502,7.5105,-6.1499,-0.00087904,0.53889,0.092791
1.63E+09,6.35E+08,1.63E+09,-7.8644,5.036,-7.6612,0.01528,0.55177,-0.016277
1.63E+09,7.35E+08,1.63E+09,-8.5026,4.1347,-8.0789,-0.07806,0.54168,0.10241
1.63E+09,8.35E+08,1.63E+09,-7.7254,4.8654,-8.291,-0.13564,0.54454,0.067406
1.63E+09,9.35E+08,1.63E+09,-8.0631,6.0691,-8.0586,-0.038433,0.54671,-0.0099195
1.63E+09,3.53E+07,1.63E+09,-7.7632,5.4285,-8.7983,0.049063,0.54026,-0.013194
1.63E+09,1.35E+08,1.63E+09,-8.5731,3.3294,-9.3244,0.13809,0.53359,-0.059147
1.63E+09,2.35E+08,1.63E+09,-8.5567,2.1715,-10.038,-0.1307,0.53969,0.017094
1.63E+09,3.35E+08,1.63E+09,-9.2654,3.2729,-10.718,0.071,0.54107,-0.17544
1.63E+09,4.36E+08,1.63E+09,-11.032,6.1766,-10.778,-0.29266,0.53781,0.035602
1.63E+09,5.36E+08,1.63E+09,-7.7129,8.1984,-10.125,-0.1657,0.54359,-0.43551
1.63E+09,6.36E+08,1.63E+09,-8.8621,6.9507,-10.154,0.11462,0.57235,-0.70208
1.63E+09,7.36E+08,1.63E+09,-8.9652,3.7467,-12.464,0.48191,0.57634,-0.88289
1.63E+09,8.36E+08,1.63E+09,-11.168,0.60049,-13.628,0.13266,0.55691,-0.57347
1.63E+09,9.36E+08,1.63E+09,-9.6517,-0.35009,-14.008,-0.0158,0.55577,-0.40085
1.63E+09,3.59E+07,1.63E+09,-9.8295,0.16314,-14.825,0.10118,0.55262,-0.33604
1.63E+09,1.36E+08,1.63E+09,-7.8866,2.5454,-14.682,-0.16145,0.54389,-0.27048
1.63E+09,2.36E+08,1.63E+09,-9.434,1.3747,-11.15,-0.26967,0.5513,-0.29211
1.63E+09,3.36E+08,1.63E+09,-11.472,2.9999,-18.483,0.1689,0.55499,-0.43192
1.63E+09,4.36E+08,1.63E+09,-9.3452,-2.396,-15.366,0.2313,0.55045,-0.15677
1.63E+09,5.36E+08,1.63E+09,-8.6963,-0.62243,-17.162,0.12061,0.55837,-0.0060456
1.63E+09,6.36E+08,1.63E+09,-5.4597,0.41205,-12.186,0.18643,0.54377,-0.072653
1.63E+09,7.36E+08,1.63E+09,-6.9601,-2.7637,-13.985,-0.71299,0.52957,0.068444
1.63E+09,8.36E+08,1.63E+09,-6.3732,5.5034,-15.686,0.071903,0.54712,0.048555
1.63E+09,9.37E+08,1.63E+09,-5.7123,1.5219,-16.355,0.21648,0.53802,0.044454
1.63E+09,3.66E+07,1.63E+09,-6.5023,2.4778,-20.072,0.070224,0.53938,0.18304
1.63E+09,1.37E+08,1.63E+09,-5.2895,0.58611,-19.161,-0.25091,0.54702,0.55214
1.63E+09,2.37E+08,1.63E+09,-3.5811,0.9776,-16.51,-0.1112,0.5363,0.45869
1.63E+09,3.37E+08,1.63E+09,-4.6557,1.5585,-15.511,0.63644,0.54369,-0.085077
1.63E+09,4.37E+08,1.63E+09,-4.78,0.44004,-14.708,-0.13695,0.54863,0.049402
1.63E+09,5.37E+08,1.63E+09,-4.0578,0.55312,-18.539,-0.081758,0.54757,0.072841
1.63E+09,6.37E+08,1.63E+09,-3.6732,1.7632,-17.694,-0.16713,0.55994,-0.029185
1.63E+09,7.37E+08,1.63E+09,-1.4813,-0.56135,-19.267,-0.096955,0.55627,-0.17183
1.63E+09,8.37E+08,1.63E+09,-2.0659,0.51112,-19.349,-0.10958,0.53803,0.048195
1.63E+09,9.37E+08,1.63E+09,-2.0443,1.362,-17.958,0.27829,0.55209,0.046142
1.63E+09,3.73E+07,1.63E+09,-0.89218,2.4563,-20.626,0.11398,0.52866,0.18937
1.63E+09,1.37E+08,1.63E+09,-0.26104,-0.30997,-16.64,0.11799,0.55027,0.26659
1.63E+09,2.37E+08,1.63E+09,0.80118,0.22623,-17.986,0.36347,0.55743,-0.0078065
1.63E+09,3.37E+08,1.63E+09,2.3742,-1.427,-18.71,-0.2367,0.53859,-0.0060518
1.63E+09,4.38E+08,1.63E+09,2.2364,1.5137,-21.277,0.2231,0.54342,0.099964
1.63E+09,5.38E+08,1.63E+09,1.9452,-2.0788,-18.188,-0.20977,0.54027,0.061504
1.63E+09,6.38E+08,1.63E+09,2.9521,0.23701,-16.834,-0.083229,0.54235,-0.039423
1.63E+09,7.38E+08,1.63E+09,2.7677,1.4748,-20.518,-0.21919,0.5382,0.15609
1.63E+09,8.38E+08,1.63E+09,4.6737,1.5056,-17.317,0.17048,0.54664,0.20916
1.63E+09,9.38E+08,1.63E+09,5.2639,0.75979,-20.878,0.032906,0.52838,0.30534
1.63E+09,3.79E+07,1.63E+09,3.9328,-1.0084,-17.671,-0.32536,0.51733,0.3083
1.63E+09,1.38E+08,1.63E+09,3.4517,0.030948,-18.059,-0.045471,0.56023,0.28789
1.63E+09,2.38E+08,1.63E+09,5.4547,-1.1448,-14.882,0.25327,0.55413,0.051981
1.63E+09,3.38E+08,1.63E+09,6.5956,-0.9188,-22.812,-0.41909,0.52693,0.10747
1.63E+09,4.38E+08,1.63E+09,5.0359,-0.28524,-14.302,-0.34176,0.5284,0.050713
1.63E+09,5.38E+08,1.63E+09,6.0388,1.6651,-15.244,0.023919,0.55057,0.0095247
1.63E+09,6.38E+08,1.63E+09,7.0161,1.3509,-21.422,0.12964,0.55535,0.055905
1.63E+09,7.38E+08,1.63E+09,8.7506,-1.2881,-16.973,0.17571,0.54035,-0.0091896
1.63E+09,8.39E+08,1.63E+09,9.3267,-0.094204,-11.538,0.2386,0.55072,-0.0019792
1.63E+09,9.39E+08,1.63E+09,7.9739,-0.3891,-12.656,0.33838,0.54949,-0.13612
1.63E+09,3.86E+07,1.63E+09,6.1729,2.392,-18.97,-0.10468,0.55776,-0.17254
1.63E+09,1.39E+08,1.63E+09,10.049,3.8975,-15.376,0.040603,0.53738,0.0031838
1.63E+09,2.39E+08,1.63E+09,9.1353,3.0813,-11.972,0.070154,0.54571,-0.14921
1.63E+09,3.39E+08,1.63E+09,8.9756,2.0022,-15.307,0.0011042,0.5635,-0.57128
1.63E+09,4.39E+08,1.63E+09,9.2495,-3.2199,-12.792,0.21441,0.55921,-0.5118
1.63E+09,5.39E+08,1.63E+09,7.6949,-2.8858,-12.19,0.17453,0.55576,-0.18484
1.63E+09,6.39E+08,1.63E+09,8.6272,-1.0317,-10.234,0.41457,0.56821,0.13339
1.63E+09,7.39E+08,1.63E+09,10.725,0.37793,-10.646,0.21593,0.57567,0.18486
1.63E+09,8.39E+08,1.63E+09,11.46,-3.9626,-10.856,0.09061,0.52055,-0.0898
1.63E+09,9.39E+08,1.63E+09,7.7196,-3.5758,-11.244,-0.83948,0.51171,0.10631
1.63E+09,3.93E+07,1.63E+09,7.3604,1.2246,-9.8224,-0.31065,0.53266,0.0021886
1.63E+09,1.39E+08,1.63E+09,7.7064,3.4332,-11.515,0.29718,0.55386,0.020523
1.63E+09,2.39E+08,1.63E+09,9.2357,2.7294,-5.3419,-0.17714,0.54238,0.2464
1.63E+09,3.40E+08,1.63E+09,10.74,1.865,-9.7898,-0.19291,0.53436,0.20523
1.63E+09,4.40E+08,1.63E+09,8.9459,4.4463,-6.0418,-0.29159,0.53573,-0.043145
1.63E+09,5.40E+08,1.63E+09,6.9185,2.8507,-5.8363,-0.10026,0.54146,-0.025242
1.63E+09,6.40E+08,1.63E+09,9.1967,-1.3406,-2.7395,0.44589,0.55257,-0.035378
1.63E+09,7.40E+08,1.63E+09,7.1765,-3.0364,-7.8669,0.66059,0.57918,0.056809
1.63E+09,8.40E+08,1.63E+09,9.3037,-3.3152,-4.4198,-0.027834,0.53664,0.21637
1.63E+09,9.40E+08,1.63E+09,9.3191,-4.3299,-3.699,-0.8311,0.50173,0.26568
1.63E+09,4.01E+07,1.63E+09,6.916,5.5571,-5.811,-0.17899,0.54884,-0.076885
1.63E+09,1.40E+08,1.63E+09,8.7686,3.7616,-2.3071,-0.14436,0.54751,-0.24952
1.63E+09,2.40E+08,1.63E+09,6.3184,0.31243,-2.9144,0.22281,0.54213,-0.046526
1.63E+09,3.40E+08,1.63E+09,6.5019,-2.8158,-2.595,0.2527,0.54503,0.071532
1.63E+09,4.40E+08,1.63E+09,5.8216,-1.6535,0.044229,-0.25274,0.54085,-0.10315
1.63E+09,5.40E+08,1.63E+09,6.5433,1.6272,2.1622,-0.13345,0.54252,0.33898
1.63E+09,6.41E+08,1.63E+09,7.6181,3.1635,-3.1474,0.26915,0.54817,0.48109
1.63E+09,7.41E+08,1.63E+09,4.9122,0.44078,-3.433,-0.057934,0.53716,0.56881
1.63E+09,8.41E+08,1.63E+09,4.9673,-0.48694,-3.3852,-0.19567,0.52888,0.67212
1.63E+09,9.41E+08,1.63E+09,4.3078,-1.2707,1.3045,-0.30952,0.52071,0.69907
1.63E+09,4.08E+07,1.63E+09,8.3499,0.41846,-4.3601,0.25352,0.52378,0.37427
1.63E+09,1.41E+08,1.63E+09,2.027,-1.2532,-1.0693,-0.064317,0.54465,0.25035
1.63E+09,2.41E+08,1.63E+09,3.5246,0.62174,3.0577,0.37955,0.53345,0.46974
1.63E+09,3.41E+08,1.63E+09,2.8683,-2.7864,2.2964,0.14587,0.53848,0.31733
1.63E+09,4.41E+08,1.63E+09,3.3116,-2.6972,2.5937,-0.0051924,0.54163,-0.091356
1.63E+09,5.41E+08,1.63E+09,2.3513,0.065421,-4.0954,0.26437,0.54491,-0.096273
1.63E+09,6.41E+08,1.63E+09,2.8364,1.14,-0.6527,0.2167,0.54167,-0.15614
1.63E+09,7.41E+08,1.63E+09,-0.40265,1.5613,-0.89478,-0.040894,0.5591,-0.36714
1.63E+09,8.41E+08,1.63E+09,0.26442,-0.2099,0.36619,0.2136,0.55952,-0.40294
1.63E+09,9.41E+08,1.63E+09,-2.3759,-0.66428,0.099332,0.16602,0.5676,-0.47182
1.63E+09,4.16E+07,1.63E+09,-0.27298,-2.5749,-1.0742,-0.060581,0.54987,-0.48235
1.63E+09,1.42E+08,1.63E+09,-1.7705,-3.1796,-2.5056,0.074732,0.55888,-0.47286
1.63E+09,2.42E+08,1.63E+09,-2.2783,-3.984,-0.15064,0.21124,0.5525,-0.1484
1.63E+09,3.42E+08,1.63E+09,-3.028,1.4362,-2.7687,-0.23902,0.54086,-0.048531
1.63E+09,4.42E+08,1.63E+09,-5.3349,-1.7086,-1.5142,0.39933,0.55534,-0.17867
1.63E+09,5.42E+08,1.63E+09,-3.9227,-1.3152,5.1022,0.231,0.53931,-0.035032
1.63E+09,6.42E+08,1.63E+09,-5.1414,-1.9276,3.8241,0.16728,0.55475,0.04401
1.63E+09,7.42E+08,1.63E+09,-3.0847,-2.3406,0.29763,-0.034124,0.53341,-0.16238
1.63E+09,8.42E+08,1.63E+09,-7.2405,-1.2262,-3.4637,0.38393,0.54736,-0.11134
1.63E+09,9.42E+08,1.63E+09,-5.9013,-2.0401,-0.64168,0.27541,0.55972,-0.00075605
1.63E+09,4.23E+07,1.63E+09,-5.0525,-2.5769,-2.8756,-0.46656,0.53255,0.028437
1.63E+09,1.42E+08,1.63E+09,-7.296,-0.9072,-1.5242,0.086755,0.55494,-0.031963
1.63E+09,2.42E+08,1.63E+09,-5.0689,1.1643,-7.0735,-0.039307,0.55297,-0.027088
1.63E+09,3.43E+08,1.63E+09,-8.8767,-0.82333,-4.7552,-0.21978,0.5406,0.082061
1.63E+09,4.43E+08,1.63E+09,-7.2034,-0.49398,-0.90063,-0.083417,0.52995,-0.19811
1.63E+09,5.43E+08,1.63E+09,-9.1869,0.0014328,-2.7803,0.52195,0.55612,-0.11772
1.63E+09,6.43E+08,1.63E+09,-8.8744,-1.4732,-6.8787,0.058293,0.55783,-0.31485
1.63E+09,7.43E+08,1.63E+09,-9.0466,-1.9448,-3.9059,0.007378,0.55288,-0.29956
1.63E+09,8.43E+08,1.63E+09,-8.2096,-3.9264,-4.6471,0.17592,0.54868,-0.19252
1.63E+09,9.43E+08,1.63E+09,-9.1979,-3.2918,-6.4705,-0.068727,0.54939,0.066438
1.63E+09,4.31E+07,1.63E+09,-6.6107,-0.064855,-7.4971,0.19558,0.54378,-0.11774
