Sec,NanoSec,Sec_total,Left_vel,Right_vel
1.63E+09,8.22E+08,1.63E+09,0,0
1.63E+09,9.21E+08,1.63E+09,0,0
1.63E+09,2.03E+07,1.63E+09,0,0
1.63E+09,1.19E+08,1.63E+09,0,0
1.63E+09,2.18E+08,1.63E+09,0,0
1.63E+09,3.17E+08,1.63E+09,0,0
1.63E+09,4.16E+08,1.63E+09,0,0
1.63E+09,5.15E+08,1.63E+09,0,0
1.63E+09,6.26E+08,1.63E+09,0,0
1.63E+09,7.25E+08,1.63E+09,0,0
1.63E+09,8.24E+08,1.63E+09,0,0
1.63E+09,9.22E+08,1.63E+09,0,0
1.63E+09,2.15E+07,1.63E+09,0,0
1.63E+09,1.20E+08,1.63E+09,0,0
1.63E+09,2.19E+08,1.63E+09,0,0
1.63E+09,3.18E+08,1.63E+09,0,0
1.63E+09,4.17E+08,1.63E+09,0,0
1.63E+09,5.16E+08,1.63E+09,0,0
1.63E+09,6.15E+08,1.63E+09,0,0
1.63E+09,7.26E+08,1.63E+09,0,0
1.63E+09,8.25E+08,1.63E+09,0,0
1.63E+09,9.23E+08,1.63E+09,0,0
1.63E+09,2.23E+07,1.63E+09,0,0
1.63E+09,1.21E+08,1.63E+09,0,0
1.63E+09,2.20E+08,1.63E+09,0,0
1.63E+09,3.19E+08,1.63E+09,0,0
1.63E+09,4.18E+08,1.63E+09,0,0
1.63E+09,5.18E+08,1.63E+09,0,0
1.63E+09,6.17E+08,1.63E+09,0,0
1.63E+09,7.16E+08,1.63E+09,0,0
1.63E+09,8.26E+08,1.63E+09,0,0
1.63E+09,9.25E+08,1.63E+09,0,0
1.63E+09,2.34E+07,1.63E+09,0,0
1.63E+09,1.22E+08,1.63E+09,0,0
1.63E+09,2.21E+08,1.63E+09,0,0
1.63E+09,3.20E+08,1.63E+09,0,0
1.63E+09,4.19E+08,1.63E+09,0,0
1.63E+09,5.18E+08,1.63E+09,0,0
1.63E+09,6.18E+08,1.63E+09,0,0
1.63E+09,7.16E+08,1.63E+09,0,0
1.63E+09,8.15E+08,1.63E+09,0,0
1.63E+09,9.26E+08,1.63E+09,0,0
1.63E+09,2.45E+07,1.63E+09,0,0
1.63E+09,1.23E+08,1.63E+09,0,0
1.63E+09,2.22E+08,1.63E+09,0,0
1.63E+09,3.22E+08,1.63E+09,0,0
1.63E+09,4.21E+08,1.63E+09,0,0
1.63E+09,5.19E+08,1.63E+09,0,0
1.63E+09,6.19E+08,1.63E+09,0,0
1.63E+09,7.17E+08,1.63E+09,0,0
1.63E+09,8.16E+08,1.63E+09,0,0
1.63E+09,9.15E+08,1.63E+09,0,0
1.63E+09,2.56E+07,1.63E+09,0,0
1.63E+09,1.25E+08,1.63E+09,0,0
1.63E+09,2.23E+08,1.63E+09,0,0
1.63E+09,3.22E+08,1.63E+09,0,0
1.63E+09,4.22E+08,1.63E+09,0,0
1.63E+09,5.20E+08,1.63E+09,0,0
1.63E+09,6.19E+08,1.63E+09,0,0
1.63E+09,7.18E+08,1.63E+09,0,0
1.63E+09,8.18E+08,1.63E+09,0,0
1.63E+09,9.17E+08,1.63E+09,0,0
1.63E+09,1.61E+07,1.63E+09,0,0
1.63E+09,1.26E+08,1.63E+09,0,0
1.63E+09,2.25E+08,1.63E+09,0,0
1.63E+09,3.24E+08,1.63E+09,0,0
1.63E+09,4.22E+08,1.63E+09,0,0
1.63E+09,5.21E+08,1.63E+09,0,0
1.63E+09,6.20E+08,1.63E+09,1.4537,2.1199
1.63E+09,7.19E+08,1.63E+09,1.6959,5.5118
1.63E+09,8.18E+08,1.63E+09,2.6045,6.0569
1.63E+09,9.17E+08,1.63E+09,2.6651,6.0569
1.63E+09,1.71E+07,1.63E+09,2.1805,6.0569
1.63E+09,1.15E+08,1.63E+09,3.5736,6.0569
1.63E+09,2.26E+08,1.63E+09,6.0569,6.0569
1.63E+09,3.25E+08,1.63E+09,6.0569,6.0569
1.63E+09,4.23E+08,1.63E+09,6.0569,4.785
1.63E+09,5.22E+08,1.63E+09,6.0569,3.9976
1.63E+09,6.21E+08,1.63E+09,6.0569,2.4833
1.63E+09,7.20E+08,1.63E+09,6.0569,1.6959
1.63E+09,8.19E+08,1.63E+09,6.0569,2.8468
1.63E+09,9.18E+08,1.63E+09,6.0569,5.6329
1.63E+09,1.82E+07,1.63E+09,6.0569,6.0569
1.63E+09,1.17E+08,1.63E+09,6.0569,3.9976
1.63E+09,2.16E+08,1.63E+09,6.0569,4.0581
1.63E+09,3.25E+08,1.63E+09,6.0569,5.9964
1.63E+09,4.25E+08,1.63E+09,6.0569,4.7244
1.63E+09,5.23E+08,1.63E+09,6.0569,2.3016
1.63E+09,6.22E+08,1.63E+09,6.0569,2.7256
1.63E+09,7.22E+08,1.63E+09,6.0569,5.3301
1.63E+09,8.20E+08,1.63E+09,6.0569,5.3301
1.63E+09,9.20E+08,1.63E+09,6.0569,5.9964
1.63E+09,1.90E+07,1.63E+09,6.0569,5.8752
1.63E+09,1.18E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.17E+08,1.63E+09,6.0569,6.0569
1.63E+09,3.16E+08,1.63E+09,6.0569,6.0569
1.63E+09,4.26E+08,1.63E+09,5.6935,6.0569
1.63E+09,5.24E+08,1.63E+09,5.8147,6.0569
1.63E+09,6.23E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.22E+08,1.63E+09,6.0569,6.0569
1.63E+09,8.21E+08,1.63E+09,6.0569,6.0569
1.63E+09,9.20E+08,1.63E+09,6.0569,6.0569
1.63E+09,1.93E+07,1.63E+09,6.0569,5.3301
1.63E+09,1.19E+08,1.63E+09,5.9964,3.8764
1.63E+09,2.18E+08,1.63E+09,6.0569,3.8159
1.63E+09,3.17E+08,1.63E+09,6.0569,3.3919
1.63E+09,4.16E+08,1.63E+09,4.1793,4.1793
1.63E+09,5.26E+08,1.63E+09,2.4228,2.4228
1.63E+09,6.25E+08,1.63E+09,2.4228,2.4228
1.63E+09,7.23E+08,1.63E+09,2.4228,2.4228
1.63E+09,8.23E+08,1.63E+09,2.4228,2.4228
1.63E+09,9.22E+08,1.63E+09,2.4228,2.4228
1.63E+09,2.02E+07,1.63E+09,2.4228,2.4228
1.63E+09,1.19E+08,1.63E+09,2.4228,2.4228
1.63E+09,2.18E+08,1.63E+09,4.1793,4.1793
1.63E+09,3.18E+08,1.63E+09,5.9964,5.9964
1.63E+09,4.16E+08,1.63E+09,6.0569,6.0569
1.63E+09,5.16E+08,1.63E+09,3.089,6.0569
1.63E+09,6.25E+08,1.63E+09,2.7256,6.0569
1.63E+09,7.24E+08,1.63E+09,2.4228,5.9964
1.63E+09,8.23E+08,1.63E+09,1.9988,6.0569
1.63E+09,9.22E+08,1.63E+09,2.8468,6.0569
1.63E+09,2.13E+07,1.63E+09,3.6342,6.0569
1.63E+09,1.20E+08,1.63E+09,5.0273,6.0569
1.63E+09,2.20E+08,1.63E+09,3.937,6.0569
1.63E+09,3.18E+08,1.63E+09,3.3919,6.0569
1.63E+09,4.18E+08,1.63E+09,4.785,6.0569
1.63E+09,5.17E+08,1.63E+09,5.5724,6.0569
1.63E+09,6.16E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.26E+08,1.63E+09,6.0569,6.0569
1.63E+09,8.24E+08,1.63E+09,6.0569,6.0569
1.63E+09,9.24E+08,1.63E+09,6.0569,5.3301
1.63E+09,2.25E+07,1.63E+09,6.0569,5.5118
1.63E+09,1.23E+08,1.63E+09,6.0569,3.937
1.63E+09,2.20E+08,1.63E+09,6.0569,3.5736
1.63E+09,3.20E+08,1.63E+09,6.0569,6.0569
1.63E+09,4.18E+08,1.63E+09,6.0569,6.0569
1.63E+09,5.18E+08,1.63E+09,6.0569,5.5118
1.63E+09,6.17E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.16E+08,1.63E+09,4.785,6.0569
1.63E+09,8.26E+08,1.63E+09,6.0569,6.0569
1.63E+09,9.25E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.33E+07,1.63E+09,6.0569,4.5427
1.63E+09,1.23E+08,1.63E+09,6.0569,4.0581
1.63E+09,2.21E+08,1.63E+09,6.0569,5.3301
1.63E+09,3.21E+08,1.63E+09,6.0569,6.0569
1.63E+09,4.20E+08,1.63E+09,6.0569,5.3301
1.63E+09,5.18E+08,1.63E+09,6.0569,6.0569
1.63E+09,6.17E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.17E+08,1.63E+09,6.0569,5.5118
1.63E+09,8.16E+08,1.63E+09,6.0569,4.9667
1.63E+09,9.26E+08,1.63E+09,6.0569,3.9976
1.63E+09,2.45E+07,1.63E+09,6.0569,3.937
1.63E+09,1.23E+08,1.63E+09,6.0569,4.1793
1.63E+09,2.22E+08,1.63E+09,6.0569,5.3907
1.63E+09,3.21E+08,1.63E+09,6.0569,6.0569
1.63E+09,4.20E+08,1.63E+09,6.0569,6.0569
1.63E+09,5.19E+08,1.63E+09,6.0569,6.0569
1.63E+09,6.19E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.18E+08,1.63E+09,6.0569,6.0569
1.63E+09,8.17E+08,1.63E+09,6.0569,6.0569
1.63E+09,9.16E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.56E+07,1.63E+09,2.8468,6.0569
1.63E+09,1.25E+08,1.63E+09,3.6342,3.6342
1.63E+09,2.24E+08,1.63E+09,1.8171,1.8171
1.63E+09,3.22E+08,1.63E+09,-1.9382,1.9382
1.63E+09,4.21E+08,1.63E+09,-1.9988,5.6329
1.63E+09,5.20E+08,1.63E+09,0.84797,6.0569
1.63E+09,6.19E+08,1.63E+09,4.5427,6.0569
1.63E+09,7.19E+08,1.63E+09,6.0569,4.1793
1.63E+09,8.18E+08,1.63E+09,4.1793,4.1793
1.63E+09,9.17E+08,1.63E+09,5.9964,5.9964
1.63E+09,1.60E+07,1.63E+09,6.0569,6.0569
1.63E+09,1.26E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.25E+08,1.63E+09,6.0569,6.0569
1.63E+09,3.23E+08,1.63E+09,4.2399,4.2399
1.63E+09,4.23E+08,1.63E+09,2.3622,2.3622
1.63E+09,5.22E+08,1.63E+09,0.60569,0.60569
1.63E+09,6.20E+08,1.63E+09,0,0
1.63E+09,7.19E+08,1.63E+09,1.6959,1.6959
1.63E+09,8.19E+08,1.63E+09,3.5736,3.5736
1.63E+09,9.18E+08,1.63E+09,5.3907,5.3907
1.63E+09,1.72E+07,1.63E+09,6.0569,6.0569
1.63E+09,1.16E+08,1.63E+09,4.2399,4.2399
1.63E+09,2.25E+08,1.63E+09,2.4228,2.4228
1.63E+09,3.25E+08,1.63E+09,4.1793,4.1793
1.63E+09,4.23E+08,1.63E+09,5.9964,5.9964
1.63E+09,5.22E+08,1.63E+09,6.0569,4.5427
1.63E+09,6.21E+08,1.63E+09,6.0569,2.6651
1.63E+09,7.20E+08,1.63E+09,6.0569,3.089
1.63E+09,8.20E+08,1.63E+09,5.9964,2.4228
1.63E+09,9.19E+08,1.63E+09,6.0569,1.3931
1.63E+09,1.82E+07,1.63E+09,5.9964,3.2102
1.63E+09,1.17E+08,1.63E+09,6.0569,5.0273
1.63E+09,2.16E+08,1.63E+09,6.0569,2.6651
1.63E+09,3.26E+08,1.63E+09,6.0569,3.5736
1.63E+09,4.24E+08,1.63E+09,6.0569,6.0569
1.63E+09,5.24E+08,1.63E+09,6.0569,6.0569
1.63E+09,6.22E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.22E+08,1.63E+09,4.5427,6.0569
1.63E+09,8.21E+08,1.63E+09,2.9679,6.0569
1.63E+09,9.19E+08,1.63E+09,2.7862,6.0569
1.63E+09,1.93E+07,1.63E+09,2.0594,6.0569
1.63E+09,1.18E+08,1.63E+09,2.4833,6.0569
1.63E+09,2.17E+08,1.63E+09,4.9667,6.0569
1.63E+09,3.16E+08,1.63E+09,6.0569,6.0569
1.63E+09,4.25E+08,1.63E+09,6.0569,6.0569
1.63E+09,5.25E+08,1.63E+09,6.0569,6.0569
1.63E+09,6.23E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.23E+08,1.63E+09,6.0569,6.0569
1.63E+09,8.21E+08,1.63E+09,5.3907,6.0569
1.63E+09,9.20E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.02E+07,1.63E+09,6.0569,6.0569
1.63E+09,1.18E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.18E+08,1.63E+09,5.9964,6.0569
1.63E+09,3.17E+08,1.63E+09,6.0569,6.0569
1.63E+09,4.16E+08,1.63E+09,5.6935,6.0569
1.63E+09,5.26E+08,1.63E+09,4.8455,6.0569
1.63E+09,6.25E+08,1.63E+09,4.7244,6.0569
1.63E+09,7.24E+08,1.63E+09,3.9976,6.0569
1.63E+09,8.22E+08,1.63E+09,4.0581,6.0569
1.63E+09,9.22E+08,1.63E+09,5.5724,6.0569
1.63E+09,2.13E+07,1.63E+09,6.0569,6.0569
1.63E+09,1.20E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.19E+08,1.63E+09,6.0569,6.0569
1.63E+09,3.18E+08,1.63E+09,6.0569,4.9667
1.63E+09,4.17E+08,1.63E+09,6.0569,4.7244
1.63E+09,5.16E+08,1.63E+09,6.0569,4.4821
1.63E+09,6.26E+08,1.63E+09,6.0569,2.8468
1.63E+09,7.25E+08,1.63E+09,6.0569,3.7553
1.63E+09,8.23E+08,1.63E+09,6.0569,6.0569
1.63E+09,9.23E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.24E+07,1.63E+09,6.0569,6.0569
1.63E+09,1.21E+08,1.63E+09,5.3907,6.0569
1.63E+09,2.20E+08,1.63E+09,4.785,6.0569
1.63E+09,3.19E+08,1.63E+09,4.5427,6.0569
1.63E+09,4.18E+08,1.63E+09,6.0569,6.0569
1.63E+09,5.16E+08,1.63E+09,6.0569,5.3301
1.63E+09,6.16E+08,1.63E+09,6.0569,5.5118
1.63E+09,7.26E+08,1.63E+09,6.0569,6.0569
1.63E+09,8.25E+08,1.63E+09,6.0569,6.0569
1.63E+09,9.23E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.24E+07,1.63E+09,6.0569,6.0569
1.63E+09,1.21E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.21E+08,1.63E+09,6.0569,6.0569
1.63E+09,3.20E+08,1.63E+09,6.0569,6.0569
1.63E+09,4.19E+08,1.63E+09,4.1793,4.1793
1.63E+09,5.18E+08,1.63E+09,2.4228,2.4228
1.63E+09,6.17E+08,1.63E+09,0.54512,0.54512
1.63E+09,7.16E+08,1.63E+09,0,0
1.63E+09,8.26E+08,1.63E+09,1.6959,1.6959
1.63E+09,9.25E+08,1.63E+09,3.5736,3.5736
1.63E+09,2.45E+07,1.63E+09,5.3907,5.3907
1.63E+09,1.23E+08,1.63E+09,6.0569,5.6935
1.63E+09,2.22E+08,1.63E+09,6.0569,2.9073
1.63E+09,3.21E+08,1.63E+09,6.0569,4.7244
1.63E+09,4.20E+08,1.63E+09,6.0569,6.0569
1.63E+09,5.19E+08,1.63E+09,6.0569,6.0569
1.63E+09,6.18E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.17E+08,1.63E+09,6.0569,6.0569
1.63E+09,8.16E+08,1.63E+09,6.0569,6.0569
1.63E+09,9.26E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.47E+07,1.63E+09,6.0569,6.0569
1.63E+09,1.24E+08,1.63E+09,6.0569,6.0569
1.63E+09,2.22E+08,1.63E+09,4.1793,4.1793
1.63E+09,3.22E+08,1.63E+09,2.4228,2.4228
1.63E+09,4.21E+08,1.63E+09,4.2399,4.2399
1.63E+09,5.20E+08,1.63E+09,6.0569,6.0569
1.63E+09,6.19E+08,1.63E+09,6.0569,6.0569
1.63E+09,7.18E+08,1.63E+09,4.2399,4.2399
1.63E+09,8.17E+08,1.63E+09,2.4228,2.4228
1.63E+09,9.16E+08,1.63E+09,0.54512,0.54512
1.63E+09,2.60E+07,1.63E+09,0.72683,0.72683
1.63E+09,1.25E+08,1.63E+09,2.5439,2.5439
1.63E+09,2.23E+08,1.63E+09,4.361,4.361
1.63E+09,3.23E+08,1.63E+09,6.0569,6.0569
1.63E+09,4.22E+08,1.63E+09,4.1793,4.1793
1.63E+09,5.21E+08,1.63E+09,2.3622,2.3622
1.63E+09,6.20E+08,1.63E+09,0.54512,0.54512
1.63E+09,7.19E+08,1.63E+09,0,0
1.63E+09,8.18E+08,1.63E+09,-0.12114,3.7553
1.63E+09,9.17E+08,1.63E+09,0.42399,6.0569
1.63E+09,1.60E+07,1.63E+09,0.54512,6.0569
1.63E+09,1.26E+08,1.63E+09,-0.66626,5.9964
1.63E+09,2.25E+08,1.63E+09,-0.72683,4.361
1.63E+09,3.23E+08,1.63E+09,-2.1805,6.0569
1.63E+09,4.23E+08,1.63E+09,-0.060569,5.9964
1.63E+09,5.22E+08,1.63E+09,1.8776,5.9964
1.63E+09,6.21E+08,1.63E+09,4.2399,6.0569
1.63E+09,7.20E+08,1.63E+09,6.0569,5.8752
1.63E+09,8.19E+08,1.63E+09,4.1793,4.1793
1.63E+09,9.18E+08,1.63E+09,2.3622,2.3622
1.63E+09,1.70E+07,1.63E+09,0.54512,0.54512
1.63E+09,1.16E+08,1.63E+09,0.42399,4.361
1.63E+09,2.26E+08,1.63E+09,0.24228,6.0569
1.63E+09,3.25E+08,1.63E+09,0.84797,6.0569
1.63E+09,4.24E+08,1.63E+09,1.9382,6.0569
1.63E+09,5.23E+08,1.63E+09,3.3313,6.0569
1.63E+09,6.22E+08,1.63E+09,1.6959,6.0569
1.63E+09,7.21E+08,1.63E+09,0.90854,6.0569
1.63E+09,8.20E+08,1.63E+09,-0.18171,6.0569
1.63E+09,9.19E+08,1.63E+09,-1.8171,6.0569
1.63E+09,1.81E+07,1.63E+09,-1.9382,3.1496
1.63E+09,1.17E+08,1.63E+09,-0.60569,0.60569
1.63E+09,2.16E+08,1.63E+09,0,0
1.63E+09,3.26E+08,1.63E+09,1.0297,2.5439
1.63E+09,4.25E+08,1.63E+09,3.2102,3.9976
1.63E+09,5.25E+08,1.63E+09,5.4512,5.4512
1.63E+09,6.23E+08,1.63E+09,6.0569,3.089
1.63E+09,7.21E+08,1.63E+09,6.0569,2.0594
1.63E+09,8.21E+08,1.63E+09,6.0569,4.2399
1.63E+09,9.20E+08,1.63E+09,4.1793,4.1793
1.63E+09,1.93E+07,1.63E+09,2.4228,2.4228
1.63E+09,1.18E+08,1.63E+09,0.60569,0.60569
1.63E+09,2.17E+08,1.63E+09,2.3622,2.3622
1.63E+09,3.16E+08,1.63E+09,4.2399,4.2399
1.63E+09,4.26E+08,1.63E+09,6.0569,5.5118
